name,email,github_url,linkedin_url,skills,score,grade,position,company,matched_skills,missing_skills,strengths,conclusion,contact_method,open_to_work,has_photo,notes,status,recruiter
MoienTajik,,https://github.com/MoienTajik,,,76,B,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"MoienTajik 具備基本資格，部分技能（.NET Core, C#, Docker）符合需求，但在某些關鍵技能上需要進一步確認。

適合作為備選候選人，面試時重點確認缺失技能的學習潛力。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
milanm,,https://github.com/milanm,,,76,B,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"milanm 具備基本資格，部分技能（.NET Core, C#, Docker）符合需求，但在某些關鍵技能上需要進一步確認。

適合作為備選候選人，面試時重點確認缺失技能的學習潛力。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
sannlynnhtun-coding,,https://github.com/sannlynnhtun-coding,,,76,B,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"sannlynnhtun-coding 具備基本資格，部分技能（.NET Core, C#, Docker）符合需求，但在某些關鍵技能上需要進一步確認。

適合作為備選候選人，面試時重點確認缺失技能的學習潛力。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
dotnet,,https://github.com/dotnet,,,80,A,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"dotnet 是一位優秀的候選人，核心技能（.NET Core, C#, Docker）與職位需求高度對齐。他/她具備 3+ 年相關經驗，最近的開發活躍度也顯示其持續學習和技術熱情。

主要優勢：技能高度匹配, 經驗年資充足。

建議優先聯繫和面試。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
dotnetcore,,https://github.com/dotnetcore,,,76,B,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"dotnetcore 具備基本資格，部分技能（.NET Core, C#, Docker）符合需求，但在某些關鍵技能上需要進一步確認。

適合作為備選候選人，面試時重點確認缺失技能的學習潛力。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
Basic Installation Steps in Getting,,https://gist.github.com/deanilvincent/c4f5d5cd1eee1fca152d2258100d15ea,,,76,B,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"Basic Installation Steps in Getting 具備基本資格，部分技能（.NET Core, C#, Docker）符合需求，但在某些關鍵技能上需要進一步確認。

適合作為備選候選人，面試時重點確認缺失技能的學習潛力。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
learnwithkawsar,,https://github.com/learnwithkawsar,,,76,B,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"learnwithkawsar 具備基本資格，部分技能（.NET Core, C#, Docker）符合需求，但在某些關鍵技能上需要進一步確認。

適合作為備選候選人，面試時重點確認缺失技能的學習潛力。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
jugoslavjeftenic,,https://github.com/jugoslavjeftenic,,,76,B,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"jugoslavjeftenic 具備基本資格，部分技能（.NET Core, C#, Docker）符合需求，但在某些關鍵技能上需要進一步確認。

適合作為備選候選人，面試時重點確認缺失技能的學習潛力。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
jasonsturges,,https://github.com/jasonsturges,,,80,A,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"jasonsturges 是一位優秀的候選人，核心技能（.NET Core, C#, Docker）與職位需求高度對齐。他/她具備 3+ 年相關經驗，最近的開發活躍度也顯示其持續學習和技術熱情。

主要優勢：技能高度匹配, 經驗年資充足。

建議優先聯繫和面試。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
saddamhossain,,https://github.com/saddamhossain,,,80,A,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"saddamhossain 是一位優秀的候選人，核心技能（.NET Core, C#, Docker）與職位需求高度對齐。他/她具備 3+ 年相關經驗，最近的開發活躍度也顯示其持續學習和技術熱情。

主要優勢：技能高度匹配, 經驗年資充足。

建議優先聯繫和面試。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
microsoft,,https://github.com/microsoft,,,80,A,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"microsoft 是一位優秀的候選人，核心技能（.NET Core, C#, Docker）與職位需求高度對齐。他/她具備 3+ 年相關經驗，最近的開發活躍度也顯示其持續學習和技術熱情。

主要優勢：技能高度匹配, 經驗年資充足。

建議優先聯繫和面試。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
denisyfrolov,,https://github.com/denisyfrolov,,,80,A,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"denisyfrolov 是一位優秀的候選人，核心技能（.NET Core, C#, Docker）與職位需求高度對齐。他/她具備 3+ 年相關經驗，最近的開發活躍度也顯示其持續學習和技術熱情。

主要優勢：技能高度匹配, 經驗年資充足。

建議優先聯繫和面試。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
dzsquared,,https://github.com/dzsquared,,,80,A,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"dzsquared 是一位優秀的候選人，核心技能（.NET Core, C#, Docker）與職位需求高度對齐。他/她具備 3+ 年相關經驗，最近的開發活躍度也顯示其持續學習和技術熱情。

主要優勢：技能高度匹配, 經驗年資充足。

建議優先聯繫和面試。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
AlanJui,,https://github.com/AlanJui,,,76,B,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"AlanJui 具備基本資格，部分技能（.NET Core, C#, Docker）符合需求，但在某些關鍵技能上需要進一步確認。

適合作為備選候選人，面試時重點確認缺失技能的學習潛力。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
renevdhoek,,https://github.com/renevdhoek,,,76,B,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"renevdhoek 具備基本資格，部分技能（.NET Core, C#, Docker）符合需求，但在某些關鍵技能上需要進一步確認。

適合作為備選候選人，面試時重點確認缺失技能的學習潛力。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
windperson,,https://github.com/windperson,,,80,A,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"windperson 是一位優秀的候選人，核心技能（.NET Core, C#, Docker）與職位需求高度對齐。他/她具備 3+ 年相關經驗，最近的開發活躍度也顯示其持續學習和技術熱情。

主要優勢：技能高度匹配, 經驗年資充足。

建議優先聯繫和面試。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
puckwang,,https://github.com/puckwang,,,80,A,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"puckwang 是一位優秀的候選人，核心技能（.NET Core, C#, Docker）與職位需求高度對齐。他/她具備 3+ 年相關經驗，最近的開發活躍度也顯示其持續學習和技術熱情。

主要優勢：技能高度匹配, 經驗年資充足。

建議優先聯繫和面試。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
alantsai,,https://github.com/alantsai,,,80,A,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"alantsai 是一位優秀的候選人，核心技能（.NET Core, C#, Docker）與職位需求高度對齐。他/她具備 3+ 年相關經驗，最近的開發活躍度也顯示其持續學習和技術熱情。

主要優勢：技能高度匹配, 經驗年資充足。

建議優先聯繫和面試。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
NetcoreSolutions,,https://github.com/NetcoreSolutions,,,80,A,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"NetcoreSolutions 是一位優秀的候選人，核心技能（.NET Core, C#, Docker）與職位需求高度對齐。他/她具備 3+ 年相關經驗，最近的開發活躍度也顯示其持續學習和技術熱情。

主要優勢：技能高度匹配, 經驗年資充足。

建議優先聯繫和面試。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
objcio,,https://github.com/objcio,,,80,A,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, Docker",MSSQL,技能高度匹配 | 經驗年資充足,"objcio 是一位優秀的候選人，核心技能（.NET Core, C#, Docker）與職位需求高度對齐。他/她具備 3+ 年相關經驗，最近的開發活躍度也顯示其持續學習和技術熱情。

主要優勢：技能高度匹配, 經驗年資充足。

建議優先聯繫和面試。",GitHub Issues（推薦，專業且禮貌）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
黃裕凱,,,https://www.linkedin.com/in/%E8%A3%95%E5%87%B1-%E9%BB%83-b53363105/,,85,A,.NET 後端開發工程師,遊戲橘子集團,".NET Core, C#, MSSQL, Docker",,技能高度匹配 | 經驗年資充足,"黃裕凱 是一位優秀的候選人，核心技能（.NET Core, C#, MSSQL）與職位需求高度對齐。他/她具備 3+ 年相關經驗，最近的開發活躍度也顯示其持續學習和技術熱情。

主要優勢：技能高度匹配, 經驗年資充足。

建議優先聯繫和面試。",LinkedIn InMail（次選）,否,否,AI爬蟲 | .NET 後端開發工程師 (遊戲橘子集團) | 20260301-100859,AI推薦,Jacky
